,Date,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,SP500,T10Y3M,DGS10,OBMMIJUMBO30YF,DEXUSEU,DEXJPUS,DEXUSUK,CBBTCUSD,CBETHUSD,T10YIE,DCOILBRENTEU,VIXCLS,CBSICO,DAAA,DBAA,AMERIBOR,T5YIE,BAMLH0A0HYM2,BAMLH0A0HYM2EY,DGS1,DCOILWTICO,DHHNGSP
0,2019-04-01,1.19,-0.19,0.99,-0.06,-0.32,0.01,-0.486743,2867.19,0.06,2.49,4.285,1.121,111.29,1.3144,4137.0,141.0,1.9,69.08,13.4,122.49424,3.68,4.73,2.51972,1.82,3.94,6.31,2.41,61.59,2.73
1,2019-07-01,0.75,-0.59,-0.13,-0.13,0.05,0.009,-0.238285,2964.33,-0.18,2.03,4.04,1.1307,108.42,1.2644,10570.62,293.76,1.69,65.1,14.06,120.98675,3.27,4.32,2.42003344,1.53,3.99,5.86,1.94,58.91,2.33
2,2019-10-01,-1.31,-0.65,-0.59,0.1,-0.19,0.007,-0.739436,2940.25,-0.17,1.65,3.854,1.0932,107.7,1.2242,8323.43,176.25,1.52,60.06,18.56,122.85714,2.97,3.87,1.90952209,1.33,4.08,5.66,1.73,53.6,2.36
3,2020-04-01,-4.51,-1.99,-1.4,0.22,0.22,0.0,-25.4367,2470.5,0.53,0.62,3.725,1.0934,107.05,1.2394,6719.39,137.66,0.91,14.97,57.06,90.47619,2.76,4.59,0.165341,0.56,9.11,9.53,0.16,20.28,1.69
4,2020-07-01,0.41,-1.71,-2.58,-0.42,-1.22,0.001,7.55654,3115.86,0.55,0.69,3.323,1.1259,107.5,1.2474,9239.09,231.13,1.37,42.18,28.62,97.1343,2.4,3.58,0.09544314,1.17,6.33,6.72,0.16,39.88,1.69
5,2020-10-01,0.79,0.79,-0.54,-0.02,-0.58,0.0,1.12358,3380.8,0.59,0.68,3.108,1.1752,105.53,1.2901,10598.64,351.72,1.63,39.75,26.7,98.18913,2.33,3.43,0.0964656,1.48,5.36,5.73,0.12,38.51,1.6
6,2021-04-01,1.27,0.21,0.0,-0.68,-0.51,0.0,1.67375,4019.87,1.67,1.69,3.247,1.1772,110.61,1.3825,58768.84,1967.8,2.35,63.85,17.33,114.7651,2.91,3.67,0.09229075,2.55,3.33,4.35,0.06,61.41,2.52
7,2021-07-01,0.43,0.4,0.41,0.01,0.42,0.0,0.79206,4319.94,1.43,1.48,3.148,1.1857,111.56,1.378,33538.49,2109.49,2.35,76.69,15.48,99.78437,2.64,3.34,0.10770186,2.49,3.02,4.01,0.09,75.33,3.76
8,2021-10-01,1.1,0.47,0.5,-0.1,0.61,0.0,0.457572,4357.04,1.44,1.48,3.088,1.1598,110.97,1.3572,48145.34,3311.46,2.38,79.4,21.15,100.69444,2.65,3.33,0.08369,2.51,3.2,4.2,0.09,76.01,5.61
9,2022-04-01,0.39,0.57,-0.59,-0.91,0.1,0.001,-0.124828,4545.86,1.86,2.39,4.449,1.1043,122.6,1.3114,46222.43,3450.72,2.8,106.13,19.63,83.87097,3.32,4.2,0.37363,3.28,3.4,5.86,1.72,99.32,5.43
10,2022-07-01,1.15,-0.02,0.1,-0.74,-0.06,0.004,-0.0206138,3825.33,1.15,2.88,5.172,1.0409,135.09,1.2048,19270.3,1059.5,2.34,119.21,26.7,90.93817,4.26,5.3,1.7044300000000001,2.6,5.92,8.83,2.79,110.3,5.75
